DirectorID,EXECID,execCIK
1012985,46542,NA
349710,14109,NA
184083,27993,NA
445866,41738,NA
445868,41739,NA
370069,44874,NA
498592,44873,NA
182180,12780,NA
182169,36302,NA
645039,36301,NA
486345,29139,NA
182155,21900,NA
208096,26425,NA
182148,11430,NA
182167,08226,NA
370063,36460,NA
324986,12362,NA
220672,06305,NA
201834,06304,NA
201309,20758,NA
337423,24079,NA
590061,43977,NA
81747,00165,NA
180005,30605,NA
182952,30606,NA
1044087,46748,NA
443272,20113,NA
331193,48567,NA
182962,12922,NA
375913,16880,NA
61802,29953,NA
182959,21253,NA
142193,28216,NA
338714,51771,NA
1197009,51765,NA
104807,17317,NA
599918,35366,NA
31459,00197,NA
104862,21429,NA
104767,17315,NA
201868,04451,NA
310103,27987,NA
270735,00640,NA
86311,01854,NA
338868,32871,NA
338840,32870,NA
204486,26310,NA
1304182,47540,NA
67847,19925,NA
34543,00168,NA
47826,12560,NA
333291,55412,NA
1122227,46069,NA
371048,36465,NA
34574,17885,NA
370359,36471,NA
1278226,45168,NA
511501,36470,NA
141829,35437,NA
332028,26206,NA
48866,14454,NA
48786,14453,NA
793112,45334,NA
1191875,45336,NA
339328,44947,NA
339362,44944,NA
339377,22025,NA
349163,60041,NA
335306,25176,NA
335324,26479,NA
335302,07846,NA
489292,31316,NA
200767,22494,NA
541636,06395,NA
34581,05859,NA
517277,40450,NA
32169,20200,NA
444036,56327,NA
33927,52261,NA
735241,12642,NA
621691,32582,NA
205356,36131,NA
1334463,55678,NA
331436,04074,NA
326270,27254,NA
6820,26484,NA
56886,23243,NA
56866,11414,NA
843037,40437,NA
106137,23671,NA
105352,04787,NA
105477,18546,NA
35280,04786,NA
88297,34300,NA
207627,34299,NA
88307,21658,NA
276055,16784,NA
320412,19453,NA
275809,08262,NA
207180,14481,NA
35272,01320,NA
35264,45517,NA
27499,00730,NA
27496,00174,NA
8728,25897,NA
35302,23009,NA
36242,33655,NA
202527,02313,NA
202544,04635,NA
202559,05353,NA
202554,12066,NA
598707,44876,NA
336079,23910,NA
1335925,53005,NA
1108226,51658,NA
200438,37788,NA
342649,37787,NA
160072,30612,NA
542828,40306,NA
325925,19215,NA
336078,06626,NA
1074304,49255,NA
201198,08109,NA
201199,08112,NA
201197,08110,NA
274266,27141,NA
62682,09390,NA
1517277,49154,NA
370771,11872,NA
327660,21654,NA
337759,31396,NA
534621,43846,NA
591131,48571,NA
349907,11870,NA
1047323,48040,NA
70767,11712,NA
275274,27089,NA
276076,08983,NA
324515,31867,NA
41541,23001,NA
36264,02777,NA
183479,29241,NA
183460,29239,NA
896619,45890,NA
202695,08807,NA
320763,03501,NA
503308,36472,NA
1058282,42377,NA
878149,56745,NA
454318,30553,NA
446848,30552,NA
201715,21355,NA
48021,42441,NA
201719,15081,NA
105467,02158,NA
504253,30776,NA
201712,11590,NA
764621,44188,NA
895775,37119,NA
452866,42249,NA
14803,14210,NA
64137,18440,NA
64132,18439,NA
36878,02202,NA
64127,18438,NA
140604,28583,NA
181560,07280,NA
181612,07278,NA
181738,07279,NA
336932,34398,NA
1118251,43213,NA
336931,34395,NA
1643328,50296,NA
450626,46528,NA
450605,46526,NA
29804,55721,NA
887702,58006,NA
84012,35704,NA
1203855,44657,NA
1902274,59399,NA
201946,34400,NA
36552,12690,NA
81907,10794,NA
81927,45441,NA
83282,02516,NA
1114273,46887,NA
62397,03853,NA
62382,00182,NA
62502,03852,NA
203173,48409,NA
37461,44880,NA
203170,30693,NA
890945,44527,NA
1093369,40956,NA
338517,28574,NA
